Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SBH,LATEST,ratio,value,0.5570489032,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,balance_sheet,value,2468800729265.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SBH,LATEST,cash_flow,value,237699259337.0,ACTUAL,VNSTOCK_BRONZE
