Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SBT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,balance_sheet,value,18905885468706.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SBT,LATEST,cash_flow,value,226040827788.0,ACTUAL,VNSTOCK_BRONZE
