Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SCV,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,balance_sheet,value,90654092638.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SCV,LATEST,cash_flow,value,4322756286.0,ACTUAL,VNSTOCK_BRONZE
