Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SDD,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,balance_sheet,value,437978640143.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SDD,LATEST,cash_flow,value,914838405.0,ACTUAL,VNSTOCK_BRONZE
