Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SEA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,balance_sheet,value,2642672288928.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,income_statement,value,378.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SEA,LATEST,cash_flow,value,88999330987.0,ACTUAL,VNSTOCK_BRONZE
