Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SGC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,balance_sheet,value,151128260713.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGC,LATEST,cash_flow,value,20981683668.0,ACTUAL,VNSTOCK_BRONZE
