Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SGR,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,balance_sheet,value,1751029975461.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGR,LATEST,cash_flow,value,215422550662.0,ACTUAL,VNSTOCK_BRONZE
