Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SGS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,balance_sheet,value,244241969270.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGS,LATEST,cash_flow,value,19090852099.0,ACTUAL,VNSTOCK_BRONZE
