Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SGT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,balance_sheet,value,1800942366182.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,income_statement,value,259.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SGT,LATEST,cash_flow,value,59363101299.0,ACTUAL,VNSTOCK_BRONZE
