Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SHA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,balance_sheet,value,666751839106.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,income_statement,value,1298.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SHA,LATEST,cash_flow,value,47224886378.0,ACTUAL,VNSTOCK_BRONZE
