Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SHI,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,balance_sheet,value,3081035842018.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,income_statement,value,1443.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SHI,LATEST,cash_flow,value,138530614514.0,ACTUAL,VNSTOCK_BRONZE
