Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SKH,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,balance_sheet,value,535282701083.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SKH,LATEST,cash_flow,value,38415003327.0,ACTUAL,VNSTOCK_BRONZE
