Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SPA,LATEST,ratio,value,0.0430827452,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,balance_sheet,value,137746530261.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SPA,LATEST,cash_flow,value,14586598072.0,ACTUAL,VNSTOCK_BRONZE
