Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SPV,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,balance_sheet,value,402187933698.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,income_statement,value,1870.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SPV,LATEST,cash_flow,value,29170887554.0,ACTUAL,VNSTOCK_BRONZE
