Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SQC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,balance_sheet,value,855876824002.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SQC,LATEST,cash_flow,value,3209683612.0,ACTUAL,VNSTOCK_BRONZE
