Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SSF,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,balance_sheet,value,2170251165.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,income_statement,value,-259.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SSF,LATEST,cash_flow,value,93555748.0,ACTUAL,VNSTOCK_BRONZE
