Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SSH,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,balance_sheet,value,10698356843638.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SSH,LATEST,cash_flow,value,519865473866.0,ACTUAL,VNSTOCK_BRONZE
