Ticker,Period,Dataset,Field,Value,DataType,SourceMode
STG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,balance_sheet,value,2405528117679.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
STG,LATEST,cash_flow,value,175327030578.0,ACTUAL,VNSTOCK_BRONZE
