Ticker,Period,Dataset,Field,Value,DataType,SourceMode
STT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,balance_sheet,value,41264351013.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
STT,LATEST,cash_flow,value,560328382.0,ACTUAL,VNSTOCK_BRONZE
