Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SVT,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,balance_sheet,value,131502215600.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SVT,LATEST,cash_flow,value,858265249.0,ACTUAL,VNSTOCK_BRONZE
