Ticker,Period,Dataset,Field,Value,DataType,SourceMode
SZC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,balance_sheet,value,2133032890593.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
SZC,LATEST,cash_flow,value,24366561039.0,ACTUAL,VNSTOCK_BRONZE
