Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TCR,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,balance_sheet,value,1301558436924.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TCR,LATEST,cash_flow,value,145646293391.0,ACTUAL,VNSTOCK_BRONZE
