Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TDG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,balance_sheet,value,296033274498.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TDG,LATEST,cash_flow,value,4404031441.0,ACTUAL,VNSTOCK_BRONZE
