Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TED,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,balance_sheet,value,819185318505.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TED,LATEST,cash_flow,value,114423087270.0,ACTUAL,VNSTOCK_BRONZE
