Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TET,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,balance_sheet,value,95702627649.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TET,LATEST,cash_flow,value,40821323494.0,ACTUAL,VNSTOCK_BRONZE
