Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TIS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,balance_sheet,value,10710535096123.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TIS,LATEST,cash_flow,value,168304164578.0,ACTUAL,VNSTOCK_BRONZE
