Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TLP,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,balance_sheet,value,10744988056968.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TLP,LATEST,cash_flow,value,592500365966.0,ACTUAL,VNSTOCK_BRONZE
