Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TMS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,balance_sheet,value,2622896958876.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,income_statement,value,1709.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TMS,LATEST,cash_flow,value,180262627416.0,ACTUAL,VNSTOCK_BRONZE
