Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TTB,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,balance_sheet,value,730541730218.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TTB,LATEST,cash_flow,value,15350528351.0,ACTUAL,VNSTOCK_BRONZE
