Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TTN,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,balance_sheet,value,357437699214.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TTN,LATEST,cash_flow,value,4880928422.0,ACTUAL,VNSTOCK_BRONZE
