Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TTZ,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,balance_sheet,value,97153253069.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TTZ,LATEST,cash_flow,value,2331745271.0,ACTUAL,VNSTOCK_BRONZE
