Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TVP,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,balance_sheet,value,679714637254.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TVP,LATEST,cash_flow,value,51722119074.0,ACTUAL,VNSTOCK_BRONZE
