Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TVW,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,balance_sheet,value,321869997488.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TVW,LATEST,cash_flow,value,814010515.0,ACTUAL,VNSTOCK_BRONZE
