Ticker,Period,Dataset,Field,Value,DataType,SourceMode
TYA,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,balance_sheet,value,893162543222.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
TYA,LATEST,cash_flow,value,189262537067.0,ACTUAL,VNSTOCK_BRONZE
