Ticker,Period,Dataset,Field,Value,DataType,SourceMode
UEM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,balance_sheet,value,66413216745.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,income_statement,value,1286.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
UEM,LATEST,cash_flow,value,722313489.0,ACTUAL,VNSTOCK_BRONZE
