Ticker,Period,Dataset,Field,Value,DataType,SourceMode
USC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,balance_sheet,value,203869198716.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
USC,LATEST,cash_flow,value,7199327344.0,ACTUAL,VNSTOCK_BRONZE
