Ticker,Period,Dataset,Field,Value,DataType,SourceMode
UXC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,balance_sheet,value,1154390244803.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
UXC,LATEST,cash_flow,value,1438841169.0,ACTUAL,VNSTOCK_BRONZE
