Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VDM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,balance_sheet,value,74404582513.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VDM,LATEST,cash_flow,value,10473568005.0,ACTUAL,VNSTOCK_BRONZE
