Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VES,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,balance_sheet,value,19145908823.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,income_statement,value,-23.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VES,LATEST,cash_flow,value,112159311.0,ACTUAL,VNSTOCK_BRONZE
