Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VFR,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,balance_sheet,value,486209166008.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VFR,LATEST,cash_flow,value,30053688447.0,ACTUAL,VNSTOCK_BRONZE
