Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VGG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,balance_sheet,value,4399038758811.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VGG,LATEST,cash_flow,value,684141001532.0,ACTUAL,VNSTOCK_BRONZE
