Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VHE,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,balance_sheet,value,162202813968.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHE,LATEST,cash_flow,value,1739560297.0,ACTUAL,VNSTOCK_BRONZE
