Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VHG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,balance_sheet,value,673751810622.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHG,LATEST,cash_flow,value,10340789727.0,ACTUAL,VNSTOCK_BRONZE
