Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VHI,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,balance_sheet,value,1104435630094.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHI,LATEST,cash_flow,value,69992032641.0,ACTUAL,VNSTOCK_BRONZE
