Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VHM,LATEST,ratio,value,0.3220481306,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,balance_sheet,value,94692754719784.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,income_statement,value,1994.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VHM,LATEST,cash_flow,value,2062432049868.0,ACTUAL,VNSTOCK_BRONZE
