Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VID,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,balance_sheet,value,704850080596.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VID,LATEST,cash_flow,value,49161060088.0,ACTUAL,VNSTOCK_BRONZE
