Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VNH,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,balance_sheet,value,12656986124.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNH,LATEST,cash_flow,value,16273747.0,ACTUAL,VNSTOCK_BRONZE
