Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VNX,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,balance_sheet,value,58154306530.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNX,LATEST,cash_flow,value,9826000880.0,ACTUAL,VNSTOCK_BRONZE
