Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VNY,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,balance_sheet,value,139911471512.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,income_statement,value,99.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VNY,LATEST,cash_flow,value,15537301017.0,ACTUAL,VNSTOCK_BRONZE
