Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VPS,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,balance_sheet,value,535401042238.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VPS,LATEST,cash_flow,value,31634768167.0,ACTUAL,VNSTOCK_BRONZE
