Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VQC,LATEST,ratio,value,0.0624078639,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,balance_sheet,value,104606559543.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VQC,LATEST,cash_flow,value,10082035555.0,ACTUAL,VNSTOCK_BRONZE
