Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VTD,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,balance_sheet,value,53073753016.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VTD,LATEST,cash_flow,value,1896034611.0,ACTUAL,VNSTOCK_BRONZE
