Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VTL,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,balance_sheet,value,145599721222.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VTL,LATEST,cash_flow,value,4317824263.0,ACTUAL,VNSTOCK_BRONZE
