Ticker,Period,Dataset,Field,Value,DataType,SourceMode
VTO,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,balance_sheet,value,1927284927896.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
VTO,LATEST,cash_flow,value,133675621411.0,ACTUAL,VNSTOCK_BRONZE
