Ticker,Period,Dataset,Field,Value,DataType,SourceMode
XMC,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,balance_sheet,value,3809978191989.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
XMC,LATEST,cash_flow,value,278668077564.0,ACTUAL,VNSTOCK_BRONZE
