Ticker,Period,Dataset,Field,Value,DataType,SourceMode
YBM,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,ratio,value,0.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,balance_sheet,value,309005822617.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,income_statement,value,0.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
YBM,LATEST,cash_flow,value,16788523362.0,ACTUAL,VNSTOCK_BRONZE
