Ticker,Period,Dataset,Field,Value,DataType,SourceMode
YEG,LATEST,ratio,value,0.0928363356,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,ratio,order,60.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,ratio,level,2.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,balance_sheet,order,118.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,balance_sheet,level,1.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,balance_sheet,off_balance,0.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,balance_sheet,value,809968116644.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,income_statement,order,25.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,income_statement,level,1.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,income_statement,value,1565.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,cash_flow,order,51.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,cash_flow,level,1.0,ACTUAL,VNSTOCK_BRONZE
YEG,LATEST,cash_flow,value,44765727940.0,ACTUAL,VNSTOCK_BRONZE
