Ticker,PE,PB,EV_EBITDA,ROE,IndustryPE,IndustryPB,IndustryEV_EBITDA,IndustryROE,MarketPE,MarketPB,Beta1Y
ABB,6.83001,1.23012,,22.25852,8.84443,1.406,,17.15562,12.57264,1.93341,0.56371164600096
ACB,8.18379,1.32378,,16.73403,8.84443,1.406,,17.15562,12.57264,1.93341,0.902575898768421
BAB,10.30808,0.89759,,8.95637,8.84443,1.406,,17.15562,12.57264,1.93341,0.413534746611259
BID,8.88603,1.44191,,17.92219,8.84443,1.406,,17.15562,12.57264,1.93341,1.12865893445536
BVB,9.90715,0.97479,,10.24869,8.84443,1.406,,17.15562,12.57264,1.93341,0.9390843945259
CTG,6.17717,1.23944,,21.86408,8.84443,1.406,,17.15562,12.57264,1.93341,1.39990445597548
EIB,65.51715,1.2166,,1.8654,8.84443,1.406,,17.15562,12.57264,1.93341,0.680010372131405
HDB,7.28639,1.54224,,24.66411,8.84443,1.406,,17.15562,12.57264,1.93341,0.987145268418404
KLB,4.43683,0.98368,,24.06941,8.84443,1.406,,17.15562,12.57264,1.93341,0.520848850488528
LPB,13.21367,3.46765,,24.66187,8.84443,1.406,,17.15562,12.57264,1.93341,0.888211611834915
MBB,6.48282,1.24386,,21.21765,8.84443,1.406,,17.15562,12.57264,1.93341,1.25282965267713
MSB,7.07134,0.92056,,13.68023,8.84443,1.406,,17.15562,12.57264,1.93341,1.15146991880419
NAB,5.31408,0.963,,19.49572,8.84443,1.406,,17.15562,12.57264,1.93341,0.356257313887348
NVB,138.1859,2.55299,,2.18342,8.84443,1.406,,17.15562,12.57264,1.93341,0.740222293660443
OCB,7.56546,0.94042,,12.97298,8.84443,1.406,,17.15562,12.57264,1.93341,1.05270508679756
PCB,5.2793,0.61757,,12.49961,8.84443,1.406,,17.15562,12.57264,1.93341,0.0
PGB,9.86077,0.86543,,9.87316,8.84443,1.406,,17.15562,12.57264,1.93341,0.490513157231488
SGB,227.13153,1.09105,,0.47898,8.84443,1.406,,17.15562,12.57264,1.93341,0.153827057551562
SHB,5.38582,0.86746,,17.24491,8.84443,1.406,,17.15562,12.57264,1.93341,0.873678026730832
SSB,19.86931,1.40576,,7.26722,8.84443,1.406,,17.15562,12.57264,1.93341,0.362075633092333
STB,46.21353,2.2662,,4.99064,8.84443,1.406,,17.15562,12.57264,1.93341,1.22033742711921
TCB,8.91195,1.2523,,15.39331,8.84443,1.406,,17.15562,12.57264,1.93341,1.12702573933279
TPB,5.36218,0.81991,,16.68235,8.84443,1.406,,17.15562,12.57264,1.93341,1.28875263763369
VAB,5.85869,0.76358,,13.66972,8.84443,1.406,,17.15562,12.57264,1.93341,0.750210737909615
VBB,8.93862,1.05364,,13.05693,8.84443,1.406,,17.15562,12.57264,1.93341,0.419402801111093
VCB,12.06072,2.02091,,17.92586,8.84443,1.406,,17.15562,12.57264,1.93341,0.621086909688339
VIB,6.8593,1.0638,,15.68967,8.84443,1.406,,17.15562,12.57264,1.93341,1.04501770477697
VPB,7.3975,1.15348,,17.04893,8.84443,1.406,,17.15562,12.57264,1.93341,1.06342535100956
HRT,105.97572,2.39352,5.27312,2.26216,40.7843,7.54231,13.16029,21.97989,13.33211,1.60007,0.538943938233073
SRT,50.67545,3.40428,5.08762,6.83077,45.98173,8.69971,13.32039,27.88049,13.11573,1.61015,0.8329386442674
TC6,5.93263,0.90571,3.57234,,9.66972,1.22001,4.10813,,13.45403,1.59339,1.0790422228599
TDN,3.18806,0.81792,2.57895,,9.66972,1.22001,4.10813,,13.45403,1.59339,0.619063930897745
ABR,14.90203,1.05355,7.31689,6.515,4.6718,0.68037,5.23189,14.58575,12.57264,1.93341,0.152313742514273
ACC,11.90388,0.35749,29.5349,3.07069,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.523891192500152
ACE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0646569509768569
ACS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530775297881509
ACV,10.9647,2.04284,8.89264,18.97959,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.834203433964989
ADP,7.64208,2.05657,4.44829,25.89076,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.438219887419517
ALC,4.06603,0.65113,3.1412,16.8701,11.88866,1.95819,8.07962,18.46725,12.57264,1.93341,0.0
ALV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.349383731684526
AME,13.22272,0.48215,13.39424,3.72107,14.65099,1.63352,9.43834,16.06733,12.57264,1.93341,0.469214118320051
AMS,5.57936,0.46586,9.14863,8.73169,13.38318,1.22515,10.67954,11.0732,12.57264,1.93341,0.631964226396136
APH,5.97961,0.23966,3.58192,8.97231,10.66409,1.45672,6.9248,15.02327,12.57264,1.93341,1.06674650504913
